id,TI,author,AB,pubdata,SO,SO_ID,PU,IS,URL,first_page,last_page,volume,issue,OA,TC,TCperYear,PY,cited_by_url,ids,DI,DT,CR,related_works,concept
https://openalex.org/W4286721518,Informal Transactions of Low Income Houses in South Africa,,"Through a series of intricate informal processes and human-centric institutional arrangements, beneficiaries of South African government-subsidized housing force formally registered properties into informality. Sandile Mbatha explores the concept of informality in relation to how such beneficiaries challenge predominant understandings of property relations. These practices are embedded in complex urban tenure dynamics that prevail in post-colonial societies; societies, in which the state's imposition of predominantly western forms of tenure and property rights ignore the anthropological nature of housing.",2022-07-04,Habitat-International: Schriften zur internationalen Urbanistik,,,,https://doi.org/10.14361/9783839462799,,,,,FALSE,0,,2022,https://api.openalex.org/works?filter=cites:W4286721518,,https://doi.org/10.14361/9783839462799,monograph,,,
https://openalex.org/W4282570549,Towards Automatic State Recovery for Replanning,,"",2022-06-16,,,,,https://zenodo.org/record/6637460,,,,,,0,,2022,https://api.openalex.org/works?filter=cites:W4282570549,,https://doi.org/10.5281/zenodo.6637460,proceedings,,,
https://openalex.org/W4283693530,ON THE EXISTENCE OF THE CENTER OF ROTATION AROUND A SHEAR CRACK; NUMERICAL INSPECTION OF DIGITAL IMAGE CORRELATION MEASUREMENTS,,"",2022-06-14,,,,,https://zenodo.org/record/6772459,,,,,,0,,2022,https://api.openalex.org/works?filter=cites:W4283693530,,https://doi.org/10.5281/zenodo.6772459,proceedings,,,
https://openalex.org/W4282566307,Setting 6G Architecture in Motion - the Hexa-X Approach,,"",2022-06-13,,,,,https://zenodo.org/record/6638245,,,,,,0,,2022,https://api.openalex.org/works?filter=cites:W4282566307,,https://doi.org/10.5281/zenodo.6638245,proceedings,,,
https://openalex.org/W4283695771,Flexural behavior of CFRP reinforced beams: a case study with comparisons to steel reinforced elements,,"",2022-06-12,,,,,https://zenodo.org/record/6759404,,,,,,0,,2022,https://api.openalex.org/works?filter=cites:W4283695771,,https://doi.org/10.5281/zenodo.6759404,proceedings,,,
https://openalex.org/W4281381856,Exploring Sketch-based Sound Associations for Sonification,,"",2022-06-07,,,,,https://zenodo.org/record/6576697,,,,,FALSE,0,,2022,https://api.openalex.org/works?filter=cites:W4281381856,,https://doi.org/10.5281/zenodo.6576697,proceedings,,,
https://openalex.org/W4283778182,Widerständige Ressource,,"Ein aktualisierter Blick auf Bauernhäuser offenbart diese als widerständige Ressource - überkommen, aber beeindruckend, voller Geschichte(n), aber nicht immer geschätzt, vermeintlich nicht mehr zeitgemäß und doch charakteristisch für eine Region. Ines Lüder zeigt in diesem Kontext heterogene Praktiken des Gebrauchs und das Ringen um Deutungshoheit auf. Sie erarbeitet anhand der Fachhallen- und Barghäuser der Steinburger Elbmarschen eine Zustandsbeschreibung und typologische Neuordnung. Dabei kontextualisiert sie die mehrdeutigen Gebäude mit ihren Interdependenzen als Bestandteil der Transformation ländlicher Räume und prüft sie auf ihr baukulturelles Potenzial für künftige Weiterentwicklung.",2022-06-07,Rurale Topografien,https://openalex.org/V4210207806,,,https://doi.org/10.14361/9783839461495,,,,,TRUE,0,,2022,https://api.openalex.org/works?filter=cites:W4283778182,,https://doi.org/10.14361/9783839461495,monograph,,,
https://openalex.org/W4281846820,"Supplement of ""'do' Unchained: Embracing Local Imperativity in a Purely Functional Language""",,"",2022-06-01,,,,,https://zenodo.org/record/6606640,,,,,,0,,2022,https://api.openalex.org/works?filter=cites:W4281846820,,https://doi.org/10.5281/zenodo.6606640,proceedings,,,
https://openalex.org/W4280639221,Slashing the Disaggregation Tax in Heterogeneous Data Centers with FractOS,,"",2022-05-17,,,,,https://zenodo.org/record/6558298,,,,,,0,,2022,https://api.openalex.org/works?filter=cites:W4280639221,,https://doi.org/10.5281/zenodo.6558298,proceedings,,,
https://openalex.org/W4280520718,Arbeitsmarkt und Arbeitsmarktpolitik,,"Globalisierung und Europäisierung, Digitalisierung und wirtschaftlicher Strukturwandel sowie gewandelte Leitbilder haben Arbeitsmärkte und hiermit auch die Arbeitsmarktpolitik nachhaltig verändert. Dieses Lehrbuch verfolgt einen innovativen Ansatz, indem es über die Beleuchtung der Strukturen, Akteure, Institutionen und Prinzipien des Arbeitsmarktes und der Arbeitsmarktpolitik hinaus aktuelle Wandlungsprozesse und Zukunftsherausforderungen thematisiert. Durch die Verbindung von politikwissenschaftlichen mit soziologischen Perspektiven wird ein fundierter, interdisziplinär angelegter Überblick geboten, der ein tieferes Verständnis der Wechselwirkungen zwischen Flexibilisierungsprozessen und der Governance von Erwerbsarbeit ermöglicht.",2022-05-16,,,,,https://doi.org/10.36198/9783838556901,,,,,FALSE,0,,2022,https://api.openalex.org/works?filter=cites:W4280520718,,https://doi.org/10.36198/9783838556901,monograph,,,
